nokta_no,x,y,count,sezon_dakikasi
1,87,48,1,1121
2,87,93,1,1121
3,87,92,1,1121
4,87,71,1,1121
5,87,65,2,1121
6,87,14,1,1121
7,87,31,1,1121
8,87,58,1,1121
9,87,88,1,1121
10,87,91,1,1121
11,87,36,1,1121
12,87,9,1,1121
13,87,8,1,1121
14,95,25,1,1121
15,95,60,1,1121
16,95,56,1,1121
17,95,71,1,1121
18,95,92,1,1121
19,88,97,1,1121
20,88,11,1,1121
21,88,25,1,1121
22,88,92,1,1121
23,88,79,1,1121
24,97,87,1,1121
25,97,88,1,1121
26,97,42,1,1121
27,97,55,1,1121
28,97,37,1,1121
29,58,78,1,1121
30,58,88,2,1121
31,58,43,1,1121
32,58,25,1,1121
33,58,8,1,1121
34,58,84,1,1121
35,58,61,1,1121
36,58,24,1,1121
37,58,6,1,1121
38,58,80,1,1121
39,23,87,1,1121
40,23,63,1,1121
41,23,62,1,1121
42,31,95,1,1121
43,31,66,3,1121
44,31,92,1,1121
45,31,40,1,1121
46,31,22,1,1121
47,31,64,1,1121
48,31,60,1,1121
49,31,76,1,1121
50,31,28,1,1121
51,31,14,1,1121
52,31,8,1,1121
53,31,90,1,1121
54,50,50,5,1121
55,50,49,2,1121
56,50,7,1,1121
57,30,59,1,1121
58,30,80,2,1121
59,30,89,1,1121
60,30,19,2,1121
61,30,63,1,1121
62,30,22,1,1121
63,30,77,1,1121
64,30,23,1,1121
65,69,88,1,1121
66,69,10,1,1121
67,69,23,1,1121
68,69,94,1,1121
69,69,35,1,1121
70,69,18,1,1121
71,69,15,1,1121
72,69,60,1,1121
73,69,20,1,1121
74,69,67,1,1121
75,69,16,1,1121
76,67,86,1,1121
77,67,73,1,1121
78,67,95,1,1121
79,67,21,1,1121
80,67,84,1,1121
81,67,88,1,1121
82,67,24,1,1121
83,67,43,1,1121
84,67,42,1,1121
85,67,37,1,1121
86,67,80,1,1121
87,67,11,2,1121
88,67,1,1,1121
89,67,5,1,1121
90,67,71,1,1121
91,67,83,1,1121
92,67,90,1,1121
93,67,67,1,1121
94,67,0,1,1121
95,86,75,1,1121
96,86,60,1,1121
97,86,14,1,1121
98,86,82,1,1121
99,62,66,1,1121
100,62,10,2,1121
101,62,23,2,1121
102,62,30,1,1121
103,62,14,3,1121
104,62,4,1,1121
105,62,3,1,1121
106,62,94,1,1121
107,62,75,1,1121
108,62,86,1,1121
109,62,69,1,1121
110,62,28,1,1121
111,62,21,1,1121
112,62,24,1,1121
113,62,81,1,1121
114,62,9,1,1121
115,99,99,13,1121
116,99,0,3,1121
117,99,12,1,1121
118,82,100,1,1121
119,82,97,1,1121
120,82,92,1,1121
121,82,58,1,1121
122,82,46,1,1121
123,32,89,1,1121
124,32,14,1,1121
125,32,4,1,1121
126,32,77,1,1121
127,32,18,1,1121
128,32,9,1,1121
129,32,6,1,1121
130,32,17,1,1121
131,32,85,1,1121
132,32,64,1,1121
133,49,49,3,1121
134,49,50,3,1121
135,49,25,1,1121
136,70,57,1,1121
137,70,90,1,1121
138,70,71,1,1121
139,70,16,1,1121
140,70,69,1,1121
141,70,3,1,1121
142,70,19,1,1121
143,70,40,2,1121
144,70,34,1,1121
145,70,4,1,1121
146,21,14,1,1121
147,21,55,1,1121
148,21,16,1,1121
149,21,30,1,1121
150,21,12,1,1121
151,21,28,1,1121
152,21,57,1,1121
153,21,3,1,1121
154,21,11,1,1121
155,21,1,1,1121
156,21,10,1,1121
157,27,14,1,1121
158,27,91,1,1121
159,27,58,4,1121
160,27,8,1,1121
161,27,15,1,1121
162,27,7,1,1121
163,27,57,1,1121
164,27,21,1,1121
165,27,90,1,1121
166,27,96,1,1121
167,42,8,1,1121
168,42,44,1,1121
169,42,23,1,1121
170,42,39,1,1121
171,42,79,1,1121
172,42,10,1,1121
173,26,41,1,1121
174,26,95,1,1121
175,26,45,1,1121
176,26,9,1,1121
177,26,22,1,1121
178,26,60,1,1121
179,25,40,1,1121
180,25,58,1,1121
181,25,63,1,1121
182,25,25,1,1121
183,25,54,1,1121
184,25,74,2,1121
185,25,9,1,1121
186,25,73,1,1121
187,25,75,1,1121
188,25,49,1,1121
189,24,42,1,1121
190,24,59,1,1121
191,24,10,1,1121
192,24,47,1,1121
193,24,13,1,1121
194,24,6,1,1121
195,24,2,1,1121
196,24,15,1,1121
197,24,80,1,1121
198,24,55,1,1121
199,24,64,1,1121
200,65,88,1,1121
201,65,55,1,1121
202,65,8,1,1121
203,65,33,1,1121
204,65,96,1,1121
205,65,4,1,1121
206,65,2,2,1121
207,65,95,1,1121
208,65,70,1,1121
209,65,16,1,1121
210,65,35,1,1121
211,65,76,1,1121
212,65,54,1,1121
213,68,50,1,1121
214,68,52,1,1121
215,68,53,1,1121
216,68,29,1,1121
217,68,6,1,1121
218,68,21,1,1121
219,68,90,1,1121
220,68,9,1,1121
221,68,30,1,1121
222,68,92,1,1121
223,68,49,1,1121
224,68,3,1,1121
225,68,20,1,1121
226,68,14,1,1121
227,68,56,1,1121
228,68,22,1,1121
229,68,82,1,1121
230,28,94,1,1121
231,28,42,1,1121
232,28,16,2,1121
233,28,51,1,1121
234,28,45,1,1121
235,28,41,1,1121
236,36,96,1,1121
237,36,76,1,1121
238,36,80,1,1121
239,36,97,1,1121
240,36,77,1,1121
241,36,55,1,1121
242,36,41,1,1121
243,36,16,1,1121
244,36,85,1,1121
245,36,33,1,1121
246,36,44,1,1121
247,36,89,1,1121
248,13,38,1,1121
249,13,53,1,1121
250,13,30,2,1121
251,13,48,1,1121
252,13,11,1,1121
253,13,93,1,1121
254,13,64,1,1121
255,13,36,1,1121
256,13,72,1,1121
257,64,76,3,1121
258,64,81,1,1121
259,64,79,1,1121
260,64,17,1,1121
261,64,34,1,1121
262,64,4,1,1121
263,64,8,3,1121
264,64,10,1,1121
265,64,9,1,1121
266,64,59,1,1121
267,64,45,1,1121
268,64,87,1,1121
269,64,30,1,1121
270,61,87,1,1121
271,61,40,1,1121
272,61,84,1,1121
273,61,65,1,1121
274,61,21,1,1121
275,61,6,2,1121
276,61,4,2,1121
277,61,3,1,1121
278,61,95,1,1121
279,61,78,1,1121
280,61,63,1,1121
281,60,95,1,1121
