nokta_no,x,y,count,sezon_dakikasi
1,68,18,1,2006
2,68,16,1,2006
3,68,68,2,2006
4,68,26,2,2006
5,68,60,1,2006
6,68,3,1,2006
7,68,72,1,2006
8,68,70,1,2006
9,68,14,1,2006
10,68,6,1,2006
11,68,94,2,2006
12,68,66,1,2006
13,68,89,1,2006
14,68,93,1,2006
15,68,90,1,2006
16,68,40,1,2006
17,68,97,1,2006
18,68,87,1,2006
19,68,92,1,2006
20,42,75,2,2006
21,42,89,1,2006
22,42,100,1,2006
23,42,1,1,2006
24,42,72,2,2006
25,42,94,4,2006
26,42,15,1,2006
27,42,70,1,2006
28,42,87,1,2006
29,42,85,1,2006
30,15,56,1,2006
31,15,87,1,2006
32,15,11,1,2006
33,65,86,1,2006
34,65,92,3,2006
35,65,34,1,2006
36,65,75,1,2006
37,65,63,1,2006
38,65,91,1,2006
39,65,46,1,2006
40,65,95,1,2006
41,65,73,1,2006
42,65,0,1,2006
43,65,14,1,2006
44,65,29,1,2006
45,65,32,1,2006
46,65,35,1,2006
47,65,8,1,2006
48,65,60,1,2006
49,65,90,1,2006
50,65,89,1,2006
51,65,87,1,2006
52,65,93,1,2006
53,66,70,1,2006
54,66,0,1,2006
55,66,3,1,2006
56,66,90,1,2006
57,66,10,2,2006
58,66,95,2,2006
59,66,36,1,2006
60,66,27,1,2006
61,66,72,1,2006
62,66,39,1,2006
63,66,100,1,2006
64,66,29,1,2006
65,66,19,1,2006
66,66,78,1,2006
67,66,89,1,2006
68,66,92,1,2006
69,66,94,1,2006
70,88,76,3,2006
71,88,70,1,2006
72,88,54,1,2006
73,88,79,1,2006
74,88,85,1,2006
75,88,43,1,2006
76,88,0,1,2006
77,88,90,2,2006
78,88,25,1,2006
79,88,89,3,2006
80,88,92,2,2006
81,88,73,1,2006
82,88,46,1,2006
83,88,82,2,2006
84,88,93,1,2006
85,88,96,1,2006
86,88,45,1,2006
87,88,94,2,2006
88,88,38,1,2006
89,88,55,1,2006
90,88,16,1,2006
91,88,88,1,2006
92,88,74,1,2006
93,88,59,1,2006
94,88,68,1,2006
95,94,8,1,2006
96,94,68,1,2006
97,94,62,1,2006
98,94,78,1,2006
99,94,44,2,2006
100,94,46,1,2006
101,94,52,1,2006
102,94,47,1,2006
103,94,79,2,2006
104,94,70,1,2006
105,94,43,1,2006
106,94,89,1,2006
107,94,82,1,2006
108,94,71,1,2006
109,92,9,1,2006
110,92,84,1,2006
111,92,26,1,2006
112,92,48,1,2006
113,92,91,1,2006
114,92,92,1,2006
115,92,52,1,2006
116,92,65,1,2006
117,92,25,1,2006
118,92,51,1,2006
119,92,67,1,2006
120,92,76,1,2006
121,92,49,1,2006
122,92,50,1,2006
123,92,47,1,2006
124,92,68,1,2006
125,92,86,3,2006
126,92,90,2,2006
127,92,82,2,2006
128,92,55,1,2006
129,74,29,1,2006
130,74,87,2,2006
131,74,91,1,2006
132,74,58,1,2006
133,74,25,1,2006
134,74,31,1,2006
135,74,94,1,2006
136,74,53,1,2006
137,74,73,1,2006
138,74,12,1,2006
139,74,96,1,2006
140,74,89,1,2006
141,74,76,1,2006
142,74,93,2,2006
143,84,23,1,2006
144,84,95,2,2006
145,84,76,1,2006
146,84,64,1,2006
147,84,65,1,2006
148,84,69,1,2006
149,84,88,2,2006
