nokta_no,x,y,count,sezon_dakikasi
1,24,83,4,1648
2,24,80,1,1648
3,24,82,1,1648
4,24,72,1,1648
5,24,3,1,1648
6,24,96,1,1648
7,24,81,1,1648
8,24,64,1,1648
9,24,62,1,1648
10,34,89,2,1648
11,34,59,1,1648
12,34,10,1,1648
13,34,88,2,1648
14,34,4,1,1648
15,34,95,2,1648
16,34,99,1,1648
17,32,85,2,1648
18,32,89,2,1648
19,32,15,1,1648
20,32,97,1,1648
21,32,65,1,1648
22,32,70,2,1648
23,32,67,1,1648
24,32,2,1,1648
25,32,93,1,1648
26,32,52,2,1648
27,32,91,1,1648
28,32,63,1,1648
29,32,45,2,1648
30,81,60,1,1648
31,81,68,1,1648
32,81,65,1,1648
33,81,81,1,1648
34,81,69,1,1648
35,81,82,1,1648
36,81,92,1,1648
37,81,97,1,1648
38,81,63,1,1648
39,81,85,1,1648
40,81,93,1,1648
41,81,75,1,1648
42,81,17,1,1648
43,81,73,1,1648
44,18,84,1,1648
45,18,25,1,1648
46,18,4,1,1648
47,18,29,1,1648
48,18,87,1,1648
49,29,96,1,1648
50,29,82,3,1648
51,29,89,3,1648
52,29,73,2,1648
53,29,86,1,1648
54,29,93,1,1648
55,29,92,1,1648
56,29,94,1,1648
57,29,97,1,1648
58,29,99,1,1648
59,29,91,1,1648
60,73,80,2,1648
61,73,94,3,1648
62,73,90,1,1648
63,73,88,1,1648
64,73,82,1,1648
65,73,69,1,1648
66,73,91,2,1648
67,73,1,1,1648
68,73,79,2,1648
69,73,97,2,1648
70,73,84,2,1648
71,73,98,1,1648
72,73,68,1,1648
73,73,81,1,1648
74,73,95,1,1648
75,73,93,1,1648
76,73,87,1,1648
77,73,85,1,1648
78,93,61,1,1648
79,93,71,1,1648
80,93,73,1,1648
81,93,13,1,1648
82,93,82,1,1648
83,93,66,1,1648
84,93,79,1,1648
85,93,76,1,1648
86,93,84,1,1648
87,93,44,1,1648
88,93,90,1,1648
89,93,93,1,1648
90,93,69,1,1648
91,27,100,1,1648
92,27,84,1,1648
93,27,85,1,1648
94,27,95,5,1648
95,27,94,1,1648
96,27,60,1,1648
97,27,93,1,1648
98,60,83,1,1648
99,60,97,2,1648
100,60,88,1,1648
101,60,68,2,1648
102,60,73,2,1648
103,60,82,1,1648
104,60,8,1,1648
105,60,2,1,1648
106,60,91,1,1648
107,60,81,1,1648
108,60,52,1,1648
109,60,93,1,1648
110,60,70,1,1648
111,60,79,1,1648
112,68,83,2,1648
113,68,100,1,1648
114,68,61,1,1648
115,68,55,2,1648
116,68,90,1,1648
117,68,78,1,1648
118,68,29,1,1648
119,68,94,1,1648
120,68,73,1,1648
121,68,96,2,1648
122,68,97,1,1648
123,68,68,1,1648
124,68,95,1,1648
125,68,79,1,1648
126,68,85,1,1648
127,80,100,1,1648
128,80,82,1,1648
129,80,28,2,1648
130,80,88,2,1648
131,80,95,1,1648
132,80,22,1,1648
133,80,23,1,1648
134,80,15,1,1648
135,80,94,2,1648
136,80,87,1,1648
137,80,90,1,1648
138,80,91,1,1648
139,80,85,1,1648
140,80,76,1,1648
141,80,98,1,1648
142,80,71,1,1648
143,71,96,1,1648
144,71,15,1,1648
145,71,5,1,1648
146,71,66,1,1648
147,71,70,1,1648
148,71,81,1,1648
149,71,93,3,1648
150,71,71,1,1648
151,71,80,2,1648
152,71,95,1,1648
153,71,83,2,1648
154,71,73,1,1648
155,71,88,1,1648
156,71,53,1,1648
157,71,55,1,1648
158,71,90,2,1648
159,71,79,1,1648
160,71,94,1,1648
161,71,91,1,1648
162,71,65,1,1648
163,71,62,1,1648
164,71,28,1,1648
165,71,82,1,1648
166,75,100,2,1648
167,75,66,1,1648
168,75,8,1,1648
169,75,81,1,1648
170,75,92,1,1648
171,75,33,1,1648
172,75,70,1,1648
173,75,93,3,1648
174,75,87,1,1648
175,75,74,1,1648
176,75,72,1,1648
177,75,77,1,1648
178,75,94,1,1648
179,75,89,1,1648
180,75,67,1,1648
181,75,86,1,1648
182,75,96,1,1648
183,75,50,1,1648
184,75,82,1,1648
185,75,69,1,1648
186,75,88,1,1648
187,75,85,1,1648
188,75,62,1,1648
189,75,46,1,1648
190,85,98,1,1648
191,85,36,1,1648
192,85,6,1,1648
193,85,90,1,1648
194,85,73,1,1648
195,85,26,1,1648
196,85,11,1,1648
197,85,88,1,1648
198,85,32,1,1648
199,85,89,1,1648
200,85,34,1,1648
201,85,92,1,1648
202,85,74,1,1648
203,85,79,1,1648
204,85,75,1,1648
205,43,93,3,1648
206,43,85,1,1648
207,43,87,1,1648
208,43,3,2,1648
209,43,100,1,1648
210,43,97,1,1648
211,43,71,1,1648
212,43,96,1,1648
213,43,94,2,1648
214,43,61,1,1648
215,43,88,1,1648
216,43,92,1,1648
217,43,83,1,1648
218,47,95,4,1648
219,47,59,1,1648
220,47,91,1,1648
221,47,92,1,1648
222,72,86,3,1648
223,72,87,2,1648
224,72,88,1,1648
225,72,93,1,1648
226,72,70,1,1648
227,72,7,1,1648
228,72,25,1,1648
229,72,3,1,1648
230,72,50,1,1648
231,72,69,1,1648
232,72,94,1,1648
233,72,96,1,1648
234,72,79,1,1648
235,72,1,1,1648
236,72,80,2,1648
237,72,100,1,1648
238,72,92,1,1648
239,91,75,2,1648
240,91,73,2,1648
241,91,72,1,1648
242,91,25,1,1648
243,91,95,1,1648
244,91,96,1,1648
245,91,83,2,1648
246,91,59,1,1648
247,91,69,1,1648
248,91,27,1,1648
249,91,24,1,1648
250,91,84,1,1648
251,91,87,1,1648
252,91,88,1,1648
253,91,94,1,1648
254,91,85,1,1648
255,91,89,1,1648
256,91,93,1,1648
257,13,97,1,1648
258,13,92,1,1648
259,13,94,1,1648
260,21,100,1,1648
261,21,91,1,1648
262,21,84,1,1648
263,21,75,1,1648
264,21,70,1,1648
265,41,84,1,1648
266,41,90,3,1648
267,41,67,2,1648
268,41,96,1,1648
269,41,97,1,1648
270,41,88,3,1648
271,41,86,1,1648
272,41,3,1,1648
273,41,80,1,1648
274,41,95,1,1648
275,41,81,1,1648
276,41,98,1,1648
277,41,60,1,1648
278,65,93,2,1648
279,65,41,1,1648
280,65,87,2,1648
281,65,77,1,1648
282,65,100,1,1648
283,65,61,1,1648
284,65,59,1,1648
285,65,96,1,1648
286,65,90,1,1648
287,65,45,1,1648
288,65,71,1,1648
