nokta_no,x,y,count,sezon_dakikasi
1,38,31,1,1664
2,38,70,1,1664
3,38,68,1,1664
4,38,10,1,1664
5,38,71,2,1664
6,38,12,1,1664
7,38,94,1,1664
8,38,2,1,1664
9,38,74,1,1664
10,38,3,1,1664
11,38,66,1,1664
12,38,93,2,1664
13,38,88,1,1664
14,38,14,1,1664
15,38,13,1,1664
16,38,11,1,1664
17,36,25,1,1664
18,36,87,1,1664
19,36,60,1,1664
20,36,5,1,1664
21,36,7,1,1664
22,36,70,1,1664
23,36,71,1,1664
24,36,64,1,1664
25,36,74,1,1664
26,36,6,1,1664
27,36,94,1,1664
28,36,23,1,1664
29,47,55,1,1664
30,47,51,1,1664
31,47,6,1,1664
32,47,8,3,1664
33,47,5,1,1664
34,47,88,1,1664
35,47,68,2,1664
36,47,21,1,1664
37,47,22,1,1664
38,47,32,1,1664
39,47,9,3,1664
40,47,3,1,1664
41,47,85,1,1664
42,47,57,1,1664
43,47,87,1,1664
44,47,41,1,1664
45,47,77,1,1664
46,47,81,1,1664
47,35,57,1,1664
48,35,83,1,1664
49,35,8,2,1664
50,35,6,1,1664
51,35,11,1,1664
52,35,59,1,1664
53,35,29,1,1664
54,35,5,1,1664
55,35,23,1,1664
56,35,7,1,1664
57,35,2,1,1664
58,35,1,1,1664
59,35,22,1,1664
60,35,51,1,1664
61,35,90,1,1664
62,35,91,1,1664
63,35,71,1,1664
64,35,13,1,1664
65,35,28,1,1664
66,35,58,1,1664
67,41,90,1,1664
68,41,3,1,1664
69,41,34,1,1664
70,41,37,1,1664
71,41,95,1,1664
72,41,28,1,1664
73,41,75,1,1664
74,41,21,1,1664
75,41,74,1,1664
76,41,67,1,1664
77,41,64,1,1664
78,41,72,1,1664
79,41,5,1,1664
80,41,9,1,1664
81,41,17,1,1664
82,41,26,1,1664
83,41,24,1,1664
84,41,14,1,1664
85,41,91,1,1664
86,39,77,1,1664
87,39,87,1,1664
88,39,64,1,1664
89,39,74,1,1664
90,39,81,1,1664
91,39,75,2,1664
92,39,26,1,1664
93,39,32,1,1664
94,39,86,1,1664
95,39,85,1,1664
96,39,72,1,1664
97,39,71,1,1664
98,39,43,1,1664
99,39,45,1,1664
100,39,11,1,1664
101,39,53,1,1664
102,39,13,1,1664
103,77,37,1,1664
104,77,77,1,1664
105,77,59,1,1664
106,77,9,2,1664
107,77,69,1,1664
108,77,7,2,1664
109,77,4,1,1664
110,77,41,1,1664
111,77,67,1,1664
112,77,39,1,1664
113,23,67,1,1664
114,23,66,1,1664
115,23,42,1,1664
116,23,24,1,1664
117,23,91,1,1664
118,75,81,1,1664
119,75,20,1,1664
120,75,39,1,1664
121,75,89,1,1664
122,75,77,1,1664
123,75,70,1,1664
124,75,11,1,1664
125,75,73,1,1664
126,75,78,1,1664
127,75,15,1,1664
128,75,90,1,1664
129,75,71,1,1664
130,75,88,1,1664
131,64,96,2,1664
132,64,78,1,1664
133,64,11,1,1664
134,64,35,2,1664
135,64,27,3,1664
136,64,6,1,1664
137,64,28,1,1664
138,64,80,1,1664
139,64,5,1,1664
140,64,0,1,1664
141,64,86,1,1664
142,64,68,1,1664
143,64,12,2,1664
144,64,82,1,1664
145,64,100,1,1664
146,64,4,1,1664
147,64,31,2,1664
148,64,48,1,1664
149,64,97,1,1664
150,64,17,1,1664
151,64,52,1,1664
152,64,79,1,1664
153,64,69,1,1664
154,64,18,1,1664
155,64,16,1,1664
156,64,14,1,1664
157,9,92,1,1664
158,9,14,2,1664
159,9,23,1,1664
160,9,43,1,1664
161,9,58,1,1664
162,8,93,1,1664
163,8,35,1,1664
164,8,64,1,1664
165,30,81,1,1664
166,30,89,1,1664
167,30,13,2,1664
168,30,94,1,1664
169,30,14,1,1664
170,30,25,1,1664
171,30,4,1,1664
172,30,85,1,1664
173,30,86,1,1664
174,30,48,1,1664
