nokta_no,x,y,count,sezon_dakikasi
1,50,50,1,1187
2,50,65,1,1187
3,50,84,1,1187
4,60,81,1,1187
5,60,93,1,1187
6,60,70,1,1187
7,60,90,2,1187
8,60,80,1,1187
9,60,59,1,1187
10,60,92,1,1187
11,60,77,1,1187
12,60,83,1,1187
13,60,91,1,1187
14,60,96,1,1187
15,60,82,1,1187
16,60,65,1,1187
17,60,88,1,1187
18,60,89,1,1187
19,60,78,1,1187
20,56,90,1,1187
21,56,68,1,1187
22,56,86,1,1187
23,56,87,1,1187
24,56,97,1,1187
25,56,76,1,1187
26,56,96,1,1187
27,56,75,1,1187
28,56,94,1,1187
29,56,84,1,1187
30,31,91,2,1187
31,31,89,1,1187
32,31,76,1,1187
33,31,92,1,1187
34,31,94,1,1187
35,70,41,1,1187
36,70,51,1,1187
37,70,86,2,1187
38,70,35,2,1187
39,70,93,3,1187
40,70,61,1,1187
41,70,97,1,1187
42,70,96,1,1187
43,70,87,1,1187
44,70,76,1,1187
45,70,68,1,1187
46,70,66,1,1187
47,70,95,1,1187
48,81,48,1,1187
49,81,74,1,1187
50,81,77,1,1187
51,81,94,1,1187
52,81,65,1,1187
53,81,87,1,1187
54,81,90,1,1187
55,81,89,1,1187
56,81,92,1,1187
57,81,67,1,1187
58,81,79,1,1187
59,75,21,1,1187
60,75,97,1,1187
61,75,55,1,1187
62,75,72,1,1187
63,75,44,1,1187
64,75,91,1,1187
65,75,94,2,1187
66,75,1,1,1187
67,75,79,1,1187
68,75,82,1,1187
69,75,81,1,1187
70,75,73,1,1187
71,75,92,1,1187
72,75,71,1,1187
73,75,85,1,1187
74,75,60,2,1187
75,73,17,2,1187
76,73,76,1,1187
77,73,71,1,1187
78,73,94,1,1187
79,73,59,1,1187
80,73,87,1,1187
81,73,75,2,1187
82,73,92,1,1187
83,73,88,1,1187
84,73,100,1,1187
85,73,82,1,1187
86,73,69,1,1187
87,85,61,1,1187
88,85,89,2,1187
89,85,66,1,1187
90,85,59,1,1187
91,85,91,1,1187
92,38,28,1,1187
93,38,67,1,1187
94,38,92,2,1187
95,38,69,1,1187
96,38,76,1,1187
97,38,74,2,1187
98,38,85,1,1187
99,38,95,3,1187
100,38,72,2,1187
101,38,84,1,1187
102,38,73,1,1187
103,38,88,1,1187
104,62,55,2,1187
105,62,66,1,1187
106,62,84,1,1187
107,62,68,1,1187
108,62,70,1,1187
109,62,3,1,1187
110,62,93,1,1187
111,62,98,1,1187
112,62,100,1,1187
113,62,81,1,1187
114,62,74,1,1187
115,62,85,2,1187
116,62,38,1,1187
117,62,97,1,1187
118,62,54,1,1187
119,62,80,1,1187
120,68,52,1,1187
121,68,78,1,1187
122,68,44,1,1187
123,68,42,1,1187
124,68,71,1,1187
125,68,74,1,1187
126,68,94,1,1187
127,68,92,1,1187
128,68,87,1,1187
129,68,80,1,1187
130,68,91,1,1187
131,68,58,1,1187
132,68,75,1,1187
133,68,66,1,1187
134,68,59,1,1187
135,68,86,1,1187
136,68,95,1,1187
137,44,55,1,1187
138,44,29,1,1187
139,44,88,1,1187
140,44,71,1,1187
141,44,93,1,1187
142,44,94,1,1187
143,44,80,1,1187
144,64,28,1,1187
145,64,29,1,1187
146,64,95,2,1187
147,64,77,1,1187
148,64,76,2,1187
149,64,52,1,1187
150,64,90,1,1187
151,64,92,2,1187
152,64,88,2,1187
153,64,94,1,1187
154,64,67,1,1187
155,64,74,1,1187
156,64,81,1,1187
157,64,93,1,1187
158,64,91,1,1187
159,72,24,1,1187
160,72,76,1,1187
161,72,91,1,1187
162,72,56,1,1187
163,72,68,1,1187
164,72,88,2,1187
165,72,79,1,1187
166,72,57,1,1187
167,72,96,1,1187
168,72,65,1,1187
169,72,71,1,1187
170,72,85,1,1187
171,55,90,1,1187
172,55,43,1,1187
173,55,73,1,1187
174,55,84,1,1187
175,55,93,1,1187
176,55,83,1,1187
177,55,97,1,1187
178,55,95,1,1187
179,55,85,1,1187
180,52,71,1,1187
181,52,69,1,1187
182,52,64,1,1187
183,52,60,1,1187
184,52,75,2,1187
185,52,90,1,1187
186,52,89,1,1187
187,52,77,1,1187
188,52,85,1,1187
189,52,96,1,1187
190,37,40,1,1187
191,37,88,1,1187
192,37,85,2,1187
193,37,90,1,1187
194,37,82,2,1187
195,37,92,1,1187
196,59,95,1,1187
197,59,89,2,1187
198,59,81,1,1187
199,59,71,1,1187
200,59,17,1,1187
201,59,93,1,1187
202,59,96,1,1187
203,59,100,1,1187
204,59,92,1,1187
205,59,97,1,1187
206,82,81,2,1187
207,82,66,2,1187
208,82,67,1,1187
209,82,41,1,1187
210,82,100,1,1187
211,76,69,1,1187
212,76,45,1,1187
213,76,27,1,1187
214,76,88,1,1187
215,76,86,1,1187
216,76,70,1,1187
217,76,79,1,1187
218,76,73,1,1187
219,76,96,1,1187
220,76,35,1,1187
221,76,51,1,1187
222,76,72,1,1187
223,76,74,1,1187
224,76,71,1,1187
225,78,75,1,1187
226,78,39,1,1187
227,78,73,1,1187
228,78,83,1,1187
229,78,82,1,1187
230,78,94,1,1187
231,78,91,2,1187
232,78,64,1,1187
233,78,89,2,1187
234,78,88,1,1187
235,78,81,1,1187
236,78,71,1,1187
237,78,74,1,1187
238,78,92,1,1187
239,78,79,1,1187
240,78,62,1,1187
241,78,96,1,1187
242,77,77,2,1187
243,77,86,1,1187
244,77,88,1,1187
245,77,89,1,1187
246,77,58,2,1187
247,77,64,1,1187
248,77,67,1,1187
249,77,34,1,1187
250,77,51,1,1187
251,77,85,1,1187
252,77,56,1,1187
253,77,72,1,1187
254,77,42,1,1187
255,77,91,1,1187
256,77,73,1,1187
257,77,44,1,1187
258,46,45,1,1187
259,46,84,2,1187
260,46,92,1,1187
261,46,95,1,1187
262,46,93,1,1187
263,46,58,1,1187
264,74,33,1,1187
265,74,32,1,1187
266,74,52,2,1187
267,74,84,1,1187
268,74,78,1,1187
269,74,49,1,1187
270,74,73,1,1187
271,74,88,1,1187
272,74,74,1,1187
273,74,95,1,1187
274,74,79,1,1187
275,74,67,1,1187
276,74,20,1,1187
277,74,87,1,1187
278,74,42,1,1187
279,89,34,1,1187
280,89,74,2,1187
281,89,71,1,1187
282,89,95,1,1187
283,89,75,2,1187
284,89,76,1,1187
285,89,72,1,1187
286,89,73,1,1187
287,89,77,1,1187
288,89,42,1,1187
289,89,40,1,1187
290,89,70,1,1187
291,89,88,1,1187
292,89,64,1,1187
293,92,33,1,1187
294,92,80,2,1187
295,92,69,1,1187
296,92,61,1,1187
297,92,76,1,1187
298,92,68,2,1187
299,92,73,1,1187
300,92,78,1,1187
301,92,74,1,1187
302,92,75,1,1187
303,42,88,2,1187
304,42,89,1,1187
305,42,63,1,1187
306,42,61,1,1187
307,42,71,1,1187
308,42,95,1,1187
309,42,73,1,1187
310,42,75,1,1187
