nokta_no,x,y,count,sezon_dakikasi
1,68,72,1,1235
2,68,27,1,1235
3,68,93,1,1235
4,68,96,1,1235
5,68,62,1,1235
6,68,47,3,1235
7,68,71,1,1235
8,68,91,1,1235
9,68,80,1,1235
10,68,29,1,1235
11,68,94,2,1235
12,68,85,1,1235
13,68,48,2,1235
14,68,70,1,1235
15,68,56,1,1235
16,68,84,1,1235
17,68,37,1,1235
18,70,59,2,1235
19,70,100,1,1235
20,70,66,1,1235
21,70,40,1,1235
22,70,72,1,1235
23,70,17,1,1235
24,70,33,1,1235
25,70,83,2,1235
26,70,82,1,1235
27,70,77,1,1235
28,70,86,1,1235
29,70,91,1,1235
30,70,74,1,1235
31,70,96,1,1235
32,70,75,1,1235
33,70,80,1,1235
34,70,4,1,1235
35,70,97,1,1235
36,70,55,1,1235
37,70,61,1,1235
38,70,93,1,1235
39,70,45,1,1235
40,70,11,1,1235
41,70,78,1,1235
42,70,47,1,1235
43,65,49,1,1235
44,65,17,1,1235
45,65,32,2,1235
46,65,94,2,1235
47,65,29,1,1235
48,65,22,1,1235
49,65,11,1,1235
50,65,12,1,1235
51,65,77,1,1235
52,65,92,1,1235
53,65,95,2,1235
54,65,88,1,1235
55,65,30,1,1235
56,65,75,1,1235
57,83,86,2,1235
58,83,67,2,1235
59,83,12,1,1235
60,83,11,1,1235
61,83,13,1,1235
62,83,80,2,1235
63,83,75,1,1235
64,83,57,1,1235
65,92,72,1,1235
66,92,71,1,1235
67,92,17,1,1235
68,92,43,1,1235
69,92,83,1,1235
70,92,42,1,1235
71,92,44,1,1235
72,92,59,1,1235
73,92,68,1,1235
74,92,45,1,1235
75,93,91,1,1235
76,93,17,1,1235
77,93,14,1,1235
78,93,21,1,1235
79,93,33,1,1235
80,93,83,1,1235
81,93,66,1,1235
82,93,85,1,1235
83,93,7,1,1235
84,93,46,1,1235
85,93,67,1,1235
86,93,65,1,1235
87,93,87,1,1235
88,87,60,1,1235
89,87,86,1,1235
90,87,57,1,1235
91,87,5,1,1235
92,87,32,1,1235
93,87,16,1,1235
94,87,96,2,1235
95,87,100,1,1235
96,87,76,1,1235
97,87,67,1,1235
98,87,46,1,1235
99,87,48,1,1235
100,74,82,1,1235
101,74,36,1,1235
102,74,57,1,1235
103,74,78,1,1235
104,74,50,1,1235
105,74,9,1,1235
106,74,29,1,1235
107,74,31,2,1235
108,74,91,1,1235
109,74,93,1,1235
110,74,44,1,1235
111,74,94,1,1235
112,74,85,1,1235
113,74,52,1,1235
114,74,54,1,1235
115,74,14,1,1235
116,74,27,1,1235
117,74,63,1,1235
118,74,77,1,1235
119,74,64,1,1235
120,73,88,1,1235
121,73,68,1,1235
122,73,42,1,1235
123,73,82,2,1235
124,73,69,1,1235
125,73,81,1,1235
126,73,19,1,1235
127,73,10,1,1235
128,73,11,2,1235
129,73,36,1,1235
130,73,76,1,1235
131,73,66,1,1235
132,73,89,1,1235
133,73,79,1,1235
134,73,95,1,1235
135,73,57,2,1235
136,73,12,1,1235
137,73,70,1,1235
138,73,63,1,1235
139,69,48,1,1235
140,69,92,4,1235
141,69,64,1,1235
142,69,67,1,1235
143,69,72,1,1235
144,69,96,1,1235
145,69,11,1,1235
146,69,28,1,1235
147,69,5,2,1235
148,69,35,1,1235
149,69,81,1,1235
150,69,87,1,1235
151,69,65,1,1235
152,69,73,1,1235
153,69,57,1,1235
154,69,90,1,1235
155,69,91,1,1235
156,69,34,1,1235
157,69,23,1,1235
158,69,62,1,1235
159,69,82,1,1235
160,69,95,1,1235
161,69,83,1,1235
162,64,86,3,1235
163,64,92,2,1235
164,64,88,1,1235
165,64,16,1,1235
166,64,25,1,1235
167,64,15,1,1235
168,64,9,1,1235
169,64,96,1,1235
170,64,89,2,1235
171,64,76,1,1235
172,64,80,1,1235
173,64,68,1,1235
174,64,91,1,1235
175,64,36,1,1235
176,85,93,1,1235
177,85,23,1,1235
178,85,59,1,1235
179,85,40,1,1235
180,85,12,1,1235
181,85,36,1,1235
182,85,55,1,1235
183,85,78,1,1235
184,85,90,1,1235
185,85,6,1,1235
186,85,67,1,1235
187,85,46,1,1235
188,85,44,1,1235
189,85,43,1,1235
190,85,25,1,1235
191,85,32,1,1235
192,77,96,1,1235
193,77,77,1,1235
194,77,38,1,1235
195,77,32,1,1235
196,77,6,1,1235
197,77,36,1,1235
198,77,39,1,1235
199,77,81,1,1235
200,77,73,1,1235
201,77,93,1,1235
202,77,64,1,1235
203,77,92,1,1235
204,77,68,1,1235
205,77,17,1,1235
206,77,94,1,1235
207,77,25,1,1235
208,77,20,1,1235
209,77,63,1,1235
210,77,30,1,1235
211,14,50,1,1235
212,14,88,2,1235
213,14,4,1,1235
214,14,90,1,1235
215,55,39,1,1235
216,55,17,1,1235
217,55,0,1,1235
218,55,19,1,1235
219,55,8,1,1235
220,55,31,1,1235
221,55,81,2,1235
222,55,86,1,1235
223,55,92,1,1235
224,55,93,1,1235
225,58,47,1,1235
226,58,93,2,1235
227,58,92,1,1235
228,58,14,1,1235
229,58,84,2,1235
230,58,95,2,1235
231,58,83,1,1235
232,58,68,2,1235
233,58,49,1,1235
234,58,21,1,1235
235,58,94,1,1235
236,58,78,1,1235
